Target URL,Target Is Core/Conversion,Target Primary Keyword,Target Primary Keyword (From Bank),inbound_links,exact,partial,info,branded,exact_pct,partial_pct,info_pct,branded_pct,Mix QA,exact_count_target,partial_count_target,info_count_target,branded_count_target
https://omnipress.com/abstract-and-application-management/,Yes,abstract and application management software,abstract and application management software,16,3,7,4,2,0.1875,0.4375,0.25,0.125,PASS (count-bounds),2–4,6–8,3–5,1–4
https://omnipress.com/application-management/,Yes,application management software,application management software,5,1,2,1,1,0.2,0.4,0.2,0.2,PASS (count-bounds),0–1,2–3,1–2,0–1
https://omnipress.com/application-management/awards-management/,Yes,awards management software,awards management software,1,0,1,0,0,0.0,1.0,0.0,0.0,PASS (count-bounds),0–1,0–1,0–1,0–1
https://omnipress.com/application-management/grants-management/,Yes,grants management software,grants management software,3,1,1,1,0,0.3333,0.3333,0.3333,0.0,PASS (count-bounds),0–1,1–2,0–1,0–1
https://omnipress.com/application-management/scholarship-management/,Yes,scholarship management software,scholarship management software,1,0,1,0,0,0.0,1.0,0.0,0.0,PASS (count-bounds),0–1,0–1,0–1,0–1
https://omnipress.com/bindings-tabs-finishes/,Yes,binding options for printed materials,binding options for printed materials,7,1,3,2,1,0.1429,0.4286,0.2857,0.1429,PASS (count-bounds),1–2,2–4,1–3,0–2
https://omnipress.com/blog/10-tips-for-writing-instructions-for-your-call-for-papers/,No,call for papers instructions,call for papers instructions,1,0,0,1,0,0.0,0.0,1.0,0.0,Not enforced (non-core target),0–1,0–1,0–1,0–1
https://omnipress.com/blog/4-takeaways-from-the-omnipress-2023-conference-industry-report/,No,2023 conference industry report,2023 conference industry report,1,0,0,1,0,0.0,0.0,1.0,0.0,Not enforced (non-core target),0–1,0–1,0–1,0–1
https://omnipress.com/blog/5-things-associations-should-know-about-gen-z/,No,engaging gen z members,engaging gen z members,1,0,0,1,0,0.0,0.0,1.0,0.0,Not enforced (non-core target),0–1,0–1,0–1,0–1
https://omnipress.com/blog/abstract-management-call-for-papers-pro-tips/,No,call for papers best practices,call for papers best practices,1,0,0,1,0,0.0,0.0,1.0,0.0,Not enforced (non-core target),0–1,0–1,0–1,0–1
https://omnipress.com/blog/application-management-software-buyers-guide/,No,application management software buyer's guide,application management software buyer's guide,4,0,0,4,0,0.0,0.0,1.0,0.0,Not enforced (non-core target),0–1,1–2,0–2,0–1
https://omnipress.com/blog/are-printed-training-materials-still-relevant-in-an-elearning-world/,No,printed training materials,printed training materials,2,0,0,2,0,0.0,0.0,1.0,0.0,Not enforced (non-core target),0–1,0–1,0–1,0–1
https://omnipress.com/blog/association-professional-development-guide/,No,association professional development,association professional development,2,0,0,2,0,0.0,0.0,1.0,0.0,Not enforced (non-core target),0–1,0–1,0–1,0–1
https://omnipress.com/blog/awards-program-content-engages-members-year-round/,No,awards program content strategy,awards program content strategy,1,0,0,1,0,0.0,0.0,1.0,0.0,Not enforced (non-core target),0–1,0–1,0–1,0–1
https://omnipress.com/blog/beginners-guide-to-abstract-management/,No,abstract management,abstract management,1,0,0,1,0,0.0,0.0,1.0,0.0,Not enforced (non-core target),0–1,0–1,0–1,0–1
https://omnipress.com/blog/book-binding-101-conference-materials-educational-publications/,No,book binding options,book binding options,2,0,0,2,0,0.0,0.0,1.0,0.0,Not enforced (non-core target),0–1,0–1,0–1,0–1
https://omnipress.com/blog/bridging-the-gap-how-associations-can-reimagine-professional-development/,No,association professional development,association professional development,1,0,0,1,0,0.0,0.0,1.0,0.0,Not enforced (non-core target),0–1,0–1,0–1,0–1
https://omnipress.com/blog/conference-content-delivery-playbook/,No,conference content delivery,conference content delivery,2,0,0,2,0,0.0,0.0,1.0,0.0,Not enforced (non-core target),0–1,0–1,0–1,0–1
https://omnipress.com/blog/digital-event-publication-platform-guide/,No,digital event and publication platform,digital event and publication platform,1,0,0,1,0,0.0,0.0,1.0,0.0,Not enforced (non-core target),0–1,0–1,0–1,0–1
https://omnipress.com/blog/focus-12-traits-effective-adult-learning-infographic/,No,adult learning principles,adult learning principles,2,0,0,2,0,0.0,0.0,1.0,0.0,Not enforced (non-core target),0–1,0–1,0–1,0–1
https://omnipress.com/blog/four-questions-your-print-and-fulfillment-rfp-should-include/,No,print and fulfillment rfp,print and fulfillment rfp,1,0,0,1,0,0.0,0.0,1.0,0.0,Not enforced (non-core target),0–1,0–1,0–1,0–1
